,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
505,1,2,8,4,91.0,163.2,744.4,10.1,26.7,35,1.8,0.0,5.8
55,4,3,9,4,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0
310,7,4,9,7,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0.0
98,3,4,8,7,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0
61,2,2,3,7,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0
343,8,6,9,1,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,2.18
158,2,4,8,3,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
128,3,5,10,3,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0
167,6,5,8,3,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
60,2,2,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0
446,6,5,8,7,92.0,203.2,664.5,8.1,19.1,70,2.2,0.0,0.0
110,4,4,3,5,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0
206,2,2,8,6,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45
306,7,4,9,7,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.41
275,4,6,12,4,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38
386,3,4,9,7,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59
333,1,4,9,1,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0,2.13
40,4,4,7,2,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
171,8,6,8,3,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69
140,2,5,9,1,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47
14,6,5,9,3,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0
400,9,5,6,3,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,8.16
213,7,3,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,27.35
24,7,4,8,6,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
342,6,3,9,1,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,0.0
486,5,4,8,2,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,2.0
270,2,2,8,2,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52
232,6,4,9,2,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39
268,3,4,8,2,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0
214,4,4,3,6,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
468,6,5,3,4,91.3,20.6,43.5,8.5,13.3,27,3.6,0.0,6.61
481,4,3,7,4,93.2,114.4,560.0,9.5,30.2,22,4.9,0.0,0.0
486,5,4,8,2,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,2.0
463,6,5,2,2,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,5.39
62,2,2,8,4,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0
411,7,4,2,5,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0,4.62
58,2,2,2,1,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0
378,6,5,3,4,90.9,18.9,30.6,8.0,8.7,51,5.8,0.0,0.0
243,7,4,8,7,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0,0.0
155,7,4,8,7,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
286,7,6,7,3,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0
5,8,6,8,7,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0
104,2,4,1,6,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0
507,2,4,8,5,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0
311,6,3,9,7,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29
350,5,4,9,5,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,3.71
32,6,3,9,5,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0
56,4,3,9,2,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0
157,2,2,8,3,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63
282,6,3,2,7,84.9,27.5,353.5,3.4,4.2,51,4.0,0.0,0.0
360,6,5,9,5,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,1.09
364,6,5,9,2,91.9,111.7,770.3,6.5,21.1,35,2.7,0.0,5.65
189,7,4,3,7,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24
418,2,4,8,7,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,2.44
422,8,6,7,7,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,6.3
31,6,3,9,1,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0
428,1,3,8,4,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0,0.0
380,5,4,7,3,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,7.73
316,4,5,9,4,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0
123,3,4,9,2,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0
448,7,4,9,3,89.7,284.9,844.0,10.1,10.5,77,4.0,0.0,0.0
349,5,4,9,5,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,1.64
8,8,6,9,2,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0
109,4,5,9,1,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0
512,4,3,8,7,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,6.44
141,1,2,8,3,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55
186,8,6,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19
393,2,4,3,2,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0,0.0
346,1,4,9,1,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19
385,2,4,8,7,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,16.0
431,1,3,8,6,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0,6.36
214,4,4,3,6,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
152,3,4,7,6,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
382,8,6,8,3,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0,5.86
511,8,6,8,7,81.6,56.7,665.6,1.9,27.8,35,2.7,0.0,0.0
265,4,4,8,2,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
130,4,6,2,6,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0
304,6,5,5,6,85.1,28.0,113.8,3.5,11.3,94,4.9,0.0,0.0
67,2,2,9,5,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0
21,5,4,9,1,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0
298,8,6,6,3,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0
331,7,4,9,6,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64
477,4,3,7,7,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36
116,3,4,3,6,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0
443,1,2,7,5,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0,0.0
142,8,6,8,5,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61
243,7,4,8,7,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0,0.0
367,4,5,9,2,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,0.0
491,4,4,8,4,95.8,152.0,624.1,13.8,32.4,21,4.5,0.0,0.0
354,7,4,9,5,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,5.97
45,5,6,9,3,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0
65,2,2,8,4,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0
426,8,6,8,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0
415,8,6,8,4,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,746.28
467,3,4,3,3,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0,5.55
271,8,6,8,2,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
457,1,4,8,3,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
94,8,6,8,1,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0
115,3,5,3,2,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0
430,7,4,9,4,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,0.0
346,1,4,9,1,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19
339,2,4,9,1,91.6,108.4,764.0,6.2,20.4,41,1.8,0.0,1.47
280,4,6,12,5,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27
377,2,2,8,6,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0,174.63
337,6,3,9,1,91.6,108.4,764.0,6.2,23.0,34,2.2,0.0,56.04
231,1,5,9,7,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
230,4,4,9,3,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49
438,2,5,8,6,93.7,231.1,715.1,8.4,23.6,53,4.0,0.0,6.43
135,3,5,8,6,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0
405,2,2,8,2,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,0.0
233,9,4,9,2,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66
321,1,4,9,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21
394,6,5,2,1,84.1,4.6,46.7,2.2,5.3,68,1.8,0.0,0.0
377,2,2,8,6,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0,174.63
132,4,6,3,7,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0
301,6,5,6,1,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,3.52
26,7,4,9,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
190,6,5,3,5,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31
298,8,6,6,3,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0
362,7,4,9,5,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.52
332,4,4,9,6,91.2,124.4,795.3,8.5,17.1,41,2.2,0.0,11.22
138,9,9,7,2,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36
3,8,6,3,5,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
231,1,5,9,7,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
386,3,4,9,7,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59
172,7,4,8,7,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74
457,1,4,8,3,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
428,1,3,8,4,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0,0.0
290,2,5,7,6,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,0.0
331,7,4,9,6,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64
28,6,3,9,6,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0
229,8,6,8,6,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3
254,6,3,8,4,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34
372,4,5,8,7,92.0,203.2,664.5,8.1,10.4,75,0.9,0.0,0.0
448,7,4,9,3,89.7,284.9,844.0,10.1,10.5,77,4.0,0.0,0.0
206,2,2,8,6,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45
450,4,5,8,3,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,6.43
202,7,4,2,7,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05
428,1,3,8,4,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0,0.0
139,1,4,9,2,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
129,2,5,10,7,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0
98,3,4,8,7,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0
74,5,4,9,5,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0
252,6,5,8,3,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21
347,5,4,9,5,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0.0
139,1,4,9,2,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
200,1,5,9,2,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53
218,4,5,9,3,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72
488,4,4,8,2,95.1,141.3,605.8,17.7,19.4,71,7.6,0.0,46.7
112,3,4,9,7,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0
330,3,3,9,6,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,6.58
106,4,5,3,4,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0
347,5,4,9,5,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0.0
334,2,3,9,1,91.6,108.4,764.0,6.2,18.0,51,5.4,0.0,0.0
86,1,2,9,4,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0
228,4,6,9,7,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1
262,2,4,8,5,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25
137,3,6,9,1,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0
354,7,4,9,5,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,5.97
111,3,4,3,5,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0
425,2,2,8,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0
470,5,4,4,7,91.0,14.6,25.6,12.3,17.6,27,5.8,0.0,0.0
480,9,9,7,4,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0,2.75
8,8,6,9,2,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0
153,5,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
500,8,6,8,2,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0
489,4,4,8,3,95.1,141.3,605.8,17.7,20.6,58,1.3,0.0,0.0
401,3,4,9,4,91.1,88.2,731.7,8.3,22.8,46,4.0,0.0,4.95
175,1,4,8,6,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53
48,4,4,3,1,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0
0,7,5,3,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0
367,4,5,9,2,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,0.0
183,7,4,10,1,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83
40,4,4,7,2,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
92,8,6,8,7,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0
76,9,9,2,5,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0
514,7,4,8,7,81.6,56.7,665.6,1.9,21.2,70,6.7,0.0,11.16
231,1,5,9,7,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
127,3,5,9,5,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0
350,5,4,9,5,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,3.71
100,3,4,8,7,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0
346,1,4,9,1,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19
288,7,4,7,6,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,0.0
211,7,4,8,6,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,26.0
34,6,3,9,1,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
119,3,4,8,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0
467,3,4,3,3,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0,5.55
360,6,5,9,5,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,1.09
439,1,3,9,5,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,0.33
322,6,5,9,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01
320,6,3,9,4,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,34.36
182,5,4,2,7,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38
177,2,5,8,7,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
238,6,5,9,6,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,1090.84
136,3,6,9,7,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0
454,3,4,8,4,91.6,248.4,753.8,6.3,16.8,56,3.1,0.0,0.0
96,3,4,2,6,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0
354,7,4,9,5,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,5.97
412,9,4,7,1,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,1.63
430,7,4,9,4,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,0.0
199,2,4,9,1,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32
415,8,6,8,4,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,746.28
441,8,6,8,1,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,1.23
189,7,4,3,7,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24
476,4,3,7,4,93.5,85.3,395.0,9.9,27.2,28,1.3,0.0,1.76
384,8,4,8,6,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,12.18
168,6,5,3,5,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53
368,6,5,9,6,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,12.64
194,2,2,8,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01
5,8,6,8,7,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0
512,4,3,8,7,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,6.44
513,2,4,8,7,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0,54.29
210,4,4,10,6,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
425,2,2,8,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0
372,4,5,8,7,92.0,203.2,664.5,8.1,10.4,75,0.9,0.0,0.0
350,5,4,9,5,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,3.71
231,1,5,9,7,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
430,7,4,9,4,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,0.0
75,9,9,2,4,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0
223,2,2,7,5,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02
452,7,4,8,1,91.5,238.2,730.6,7.5,17.7,65,4.0,0.0,0.0
28,6,3,9,6,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0
383,9,6,8,4,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,42.87
24,7,4,8,6,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
473,9,4,6,6,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,70.32
212,7,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
361,4,3,9,5,92.5,122.0,789.7,10.2,17.3,45,4.0,0.0,3.94
93,8,6,8,7,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0
53,4,3,8,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
501,7,5,8,2,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0
308,2,4,9,7,92.4,105.8,758.1,9.9,16.0,45,1.8,0.0,0.0
213,7,3,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,27.35
63,2,2,8,7,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0
457,1,4,8,3,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
309,2,4,9,7,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,0.0
108,4,5,9,6,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0
132,4,6,3,7,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0
403,8,6,8,4,90.7,194.1,643.0,6.8,21.3,41,3.6,0.0,0.0
472,8,3,6,1,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1.94
407,4,5,2,6,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,0.0
334,2,3,9,1,91.6,108.4,764.0,6.2,18.0,51,5.4,0.0,0.0
98,3,4,8,7,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0
7,8,6,8,1,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0
177,2,5,8,7,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
251,8,5,8,3,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24
425,2,2,8,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0
16,5,5,3,6,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0
173,4,4,9,1,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07
170,5,4,9,3,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57
316,4,5,9,4,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0
